id_accidente,fecha,d_a,gravedad,peaton,automovil,campaero,camioneta,micro,buseta,bus,camion,volqueta,moto,bicicleta,otro,via_1,barrio,entidad,id_comuna,nombrecomuna,propietario_de_veh_culo,diurnio_nocturno,hora_restriccion_moto
1,2012-01-01 12:15:00,Domingo,Con Heridos,0,1,0,0,0,0,0,0,0,0,0,0,CALLE,Mutis,AGENTES DTB,C17, MUTIS,Particular,Diurno,No aplica
2,2012-01-01 14:00:00,Domingo,Solo Daños,0,1,0,1,0,0,0,0,0,0,0,0,VIA MATANZA,Regaderos Norte,AGENTES DTB,C02, NORORIENTAL,Empresa,Diurno,No aplica
3,2012-01-01 12:00:00,Domingo,Solo Daños,0,0,0,1,0,0,0,0,0,0,0,0,CARRERA,Cabecera del Llano,AGENTES DTB,C12, CABECERA DEL LLANO,Particular,Diurno,No aplica
4,2012-01-01 18:30:00,Domingo,Solo Daños,0,1,0,1,0,0,0,0,0,0,0,0,CARRERA,Norte Bajo,AGENTES DTB,C03, SAN FRANCISCO,Particular,Nocturno,No aplica
5,2012-01-01 00:30:00,Domingo,Con Heridos,1,0,0,0,0,0,0,0,0,1,0,0,CARRERA,Dangond,AGENTES DTB,C11, SUR,Particular,Nocturno,En restricción
6,2012-01-01 21:10:00,Domingo,Solo Daños,0,1,0,0,0,0,0,0,0,1,0,0,CALLE,San Miguel,AGENTES DTB,C06, LA CONCORDIA,Particular,Nocturno,Sin restricción
7,2012-02-01 13:50:00,Lunes,Con Heridos,1,0,0,0,1,0,0,0,0,0,0,0,CARRERA,La Pedregosa,AGENTES DTB,C09, LA PEDREGOSA,Empresa,Diurno,No aplica
8,2012-02-01 19:20:00,Lunes,Solo Daños,0,0,0,2,0,0,0,0,0,0,0,0,TRANSVERSAL METROPOLITANA,Bucaramanga,AGENTES DTB,C08, SUROCCIDENTE,Particular,Nocturno,No aplica
9,2012-02-01 12:00:00,Lunes,Solo Daños,0,1,0,0,0,0,0,0,0,0,0,1,CARRERA,Regaderos Norte,AGENTES DTB,C02, NORORIENTAL,Empresa,Diurno,No aplica
10,2012-02-01 16:35:00,Lunes,Con Heridos,0,1,0,0,0,0,0,0,0,0,0,0,CARRERA,Tejar Norte,AGENTES DTB,C01, NORTE,Particular,Diurno,No aplica
11,2012-02-01 18:30:00,Lunes,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CALLE,Sotomayor,AGENTES DTB,C12, CABECERA DEL LLANO,Particular,Nocturno,No aplica
12,2012-02-01 08:20:00,Lunes,Solo Daños,0,0,0,0,0,0,0,1,0,1,0,0,AUTOPISTA  NORTE,Norte Bajo,AGENTES DTB,C02, NORORIENTAL,Empresa,Diurno,Sin restricción
13,2012-02-01 13:45:00,Lunes,Con Heridos,0,0,0,0,0,0,0,0,0,1,0,0,CALLE,Fontana,AGENTES DTB,C10, PROVENZA,Particular,Diurno,Sin restricción
14,2012-03-01 17:10:00,Martes,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,CARRERA,Provenza,AGENTES DTB,C10, PROVENZA,Particular,Diurno,Sin restricción
15,2012-03-01 06:45:00,Martes,Con Heridos,0,0,0,0,0,0,0,0,1,1,0,0,CARRERA,Nuevo Sotomayor,AGENTES DTB,C12, CABECERA DEL LLANO,Empresa,Diurno,Sin restricción
16,2012-03-01 22:10:00,Martes,Solo Daños,0,0,0,0,1,0,0,1,0,0,0,0,AUTOPISTA  NORTE,Cafe Madrid,AGENTES DTB,C01, NORTE,Empresa,Nocturno,No aplica
17,2012-03-01 18:10:00,Martes,Solo Daños,0,0,0,1,0,0,0,0,0,1,0,0,CALLE,Centro,AGENTES DTB,C15, CENTRO,Particular,Nocturno,Sin restricción
18,2012-03-01 18:00:00,Martes,Solo Daños,0,1,0,1,0,0,0,0,0,0,0,0,AVENIDA Q SECA,Centro,AGENTES DTB,C15, CENTRO,Particular,Diurno,No aplica
19,2012-03-01 16:15:00,Martes,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,CARRERA,Centro,AGENTES DTB,C15, CENTRO,Empresa,Diurno,Sin restricción
20,2012-04-01 18:30:00,Miercoles,Solo Daños,0,1,0,1,0,0,0,0,0,0,0,0,CARRERA,Alvarez,AGENTES DTB,C13, ORIENTAL,Particular,Nocturno,No aplica
